iter	Passed	Remaining
0	134	134154
1	134	67324
2	135	45037
3	136	33891
4	136	27203
5	137	22741
6	137	19553
7	138	17178
8	139	15320
9	139	13829
10	140	12610
11	140	11596
12	141	10737
13	141	9999
14	142	9360
15	143	8801
16	143	8307
17	144	7871
18	144	7479
19	145	7125
20	146	6815
21	146	6525
22	147	6259
23	147	6017
24	148	5795
25	149	5589
26	149	5398
27	150	5221
28	151	5056
29	151	4902
30	152	4757
31	152	4621
32	153	4494
33	153	4374
34	154	4261
35	155	4154
36	155	4053
37	156	3957
38	156	3866
39	157	3779
40	158	3696
41	158	3617
42	159	3547
43	160	3476
44	160	3408
45	161	3343
46	161	3281
47	162	3222
48	163	3165
49	163	3109
50	164	3056
51	164	3004
52	165	2955
53	165	2906
54	166	2859
55	166	2814
56	167	2774
57	168	2732
58	168	2691
59	169	2650
60	169	2611
61	170	2574
62	170	2537
63	171	2502
64	171	2469
65	172	2436
66	172	2404
67	172	2370
68	173	2340
69	173	2311
70	174	2283
71	174	2255
72	175	2228
73	175	2202
74	176	2176
75	176	2151
76	177	2126
77	177	2102
78	178	2079
79	178	2056
80	179	2034
81	179	2013
82	180	1991
83	180	1971
84	181	1949
85	181	1930
86	181	1909
87	182	1890
88	182	1872
89	183	1854
90	183	1836
91	184	1820
92	185	1804
93	185	1788
94	186	1771
95	186	1756
96	187	1740
97	187	1725
98	188	1711
99	188	1696
100	189	1683
101	189	1667
102	189	1653
103	190	1640
104	190	1627
105	191	1613
106	191	1600
107	192	1588
108	192	1575
109	193	1563
110	193	1551
111	194	1539
112	194	1527
113	195	1516
114	195	1505
115	195	1493
116	196	1483
117	197	1472
118	197	1462
119	198	1453
120	198	1443
121	199	1433
122	199	1422
123	200	1413
124	200	1404
125	201	1395
126	201	1386
127	202	1376
128	202	1367
129	203	1358
130	203	1350
131	204	1341
132	204	1333
133	205	1324
134	205	1316
135	206	1308
136	206	1300
137	206	1292
138	207	1284
139	207	1277
140	208	1269
141	208	1262
142	209	1254
143	209	1247
144	210	1241
145	210	1234
146	211	1227
147	211	1220
148	212	1213
149	213	1207
150	213	1201
151	214	1194
152	214	1188
153	215	1181
154	215	1175
155	216	1169
156	216	1163
157	217	1157
158	217	1150
159	218	1144
160	218	1138
161	219	1133
162	219	1127
163	220	1121
164	220	1115
165	220	1110
166	221	1104
167	221	1099
168	222	1093
169	222	1088
170	223	1083
171	224	1078
172	224	1073
173	225	1068
174	225	1063
175	226	1058
176	226	1053
177	227	1049
178	227	1044
179	228	1039
180	228	1033
181	228	1029
182	229	1024
183	229	1019
184	230	1015
185	231	1011
186	231	1006
187	232	1002
188	232	998
189	233	993
190	233	989
191	234	985
192	234	981
193	235	976
194	235	972
195	236	968
196	237	966
197	237	962
198	238	958
199	238	954
200	239	950
201	239	946
202	240	942
203	240	939
204	241	935
205	241	931
206	242	928
207	242	924
208	243	920
209	243	916
210	244	913
211	244	909
212	245	905
213	245	902
214	246	898
215	246	895
216	247	891
217	247	888
218	248	884
219	248	881
220	249	877
221	249	875
222	250	872
223	250	868
224	251	865
225	251	862
226	252	859
227	252	856
228	253	853
229	253	850
230	254	847
231	255	844
232	255	841
233	256	838
234	256	835
235	257	832
236	257	829
237	258	826
238	258	823
239	259	820
240	259	817
241	260	814
242	260	811
243	261	809
244	261	806
245	262	803
246	262	801
247	263	798
248	263	795
249	264	793
250	264	790
251	265	787
252	265	785
253	266	782
254	266	779
255	267	777
256	267	774
257	268	771
258	268	769
259	269	766
260	269	764
261	270	761
262	270	759
263	271	756
264	271	753
265	272	751
266	272	748
267	273	746
268	273	743
269	274	741
270	274	738
271	275	737
272	275	734
273	276	732
274	277	730
275	277	727
276	278	725
277	278	723
278	279	721
279	279	718
280	280	716
281	280	714
282	281	712
283	281	709
284	282	707
285	282	705
286	283	703
287	283	700
288	283	698
289	284	696
290	284	694
291	285	692
292	285	689
293	286	687
294	286	685
295	287	683
296	288	681
297	288	679
298	289	677
299	289	675
300	290	673
301	290	671
302	291	669
303	291	667
304	292	665
305	292	663
306	293	662
307	293	660
308	294	658
309	294	656
310	295	654
311	295	652
312	296	650
313	296	648
314	297	646
315	297	644
316	298	643
317	298	641
318	299	639
319	300	637
320	300	635
321	301	633
322	301	632
323	302	631
324	303	629
325	303	627
326	304	625
327	304	624
328	305	622
329	305	620
330	306	619
331	306	617
332	307	615
333	307	613
334	308	611
335	308	610
336	309	608
337	309	606
338	310	604
339	310	603
340	311	601
341	311	599
342	312	597
343	312	596
344	313	594
345	313	592
346	314	591
347	314	589
348	315	587
349	315	586
350	316	584
351	316	583
352	317	581
353	317	580
354	318	578
355	318	576
356	319	575
357	319	573
358	320	571
359	320	570
360	321	568
361	321	567
362	322	565
363	322	564
364	323	562
365	323	560
366	324	559
367	324	557
368	325	556
369	325	554
370	326	553
371	327	552
372	327	550
373	328	549
374	328	547
375	329	546
376	329	544
377	330	543
378	330	541
379	331	540
380	331	538
381	332	537
382	332	535
383	333	534
384	333	533
385	334	531
386	334	530
387	335	528
388	335	527
389	336	525
390	336	524
391	337	522
392	337	521
393	337	519
394	338	518
395	338	516
396	339	515
397	340	514
398	340	513
399	341	511
400	341	510
401	342	509
402	342	507
403	343	506
404	343	505
405	344	503
406	344	502
407	345	501
408	345	499
409	346	498
410	346	496
411	347	495
412	347	494
413	348	492
414	348	491
415	349	490
416	349	488
417	350	487
418	350	486
419	351	484
420	351	483
421	352	482
422	352	481
423	353	480
424	353	478
425	354	477
426	354	476
427	355	475
428	356	474
429	356	472
430	357	471
431	357	470
432	358	468
433	358	467
434	359	466
435	359	465
436	360	463
437	360	462
438	361	461
439	361	460
440	362	458
441	362	457
442	363	456
443	363	455
444	364	454
445	364	452
446	365	451
447	365	450
448	366	449
449	366	448
450	367	447
451	367	446
452	368	444
453	368	443
454	369	442
455	369	441
456	370	440
457	370	438
458	371	437
459	371	436
460	372	435
461	372	434
462	373	433
463	373	431
464	374	430
465	374	429
466	375	428
467	375	427
468	376	426
469	376	424
470	377	423
471	378	423
472	378	422
473	379	420
474	379	419
475	380	418
476	380	417
477	381	416
478	381	415
479	382	414
480	382	413
481	383	412
482	383	410
483	384	409
484	384	408
485	385	407
486	385	406
487	386	405
488	386	404
489	387	403
490	387	402
491	388	400
492	388	399
493	389	398
494	389	397
495	390	396
496	391	395
497	391	394
498	392	393
499	392	392
500	393	391
501	393	390
502	394	389
503	394	388
504	395	387
505	395	386
506	396	385
507	396	384
508	397	383
509	397	382
510	398	380
511	398	379
512	399	378
513	399	377
514	400	376
515	400	375
516	401	374
517	401	373
518	402	372
519	402	371
520	403	370
521	403	369
522	404	368
523	405	367
524	405	366
525	406	365
526	406	364
527	407	363
528	407	362
529	408	361
530	408	360
531	409	359
532	409	358
533	410	357
534	410	356
535	411	355
536	411	354
537	412	353
538	412	352
539	413	351
540	413	350
541	414	349
542	414	348
543	415	347
544	415	346
545	416	346
546	416	345
547	417	344
548	417	343
549	418	342
550	418	341
551	419	340
552	419	339
553	420	338
554	420	337
555	421	336
556	421	335
557	422	334
558	422	333
559	423	332
560	423	331
561	424	330
562	424	329
563	425	328
564	425	327
565	426	326
566	426	326
567	427	325
568	427	324
569	428	323
570	429	322
571	429	321
572	430	320
573	430	319
574	431	318
575	431	317
576	432	316
577	432	315
578	433	315
579	433	314
580	434	313
581	434	312
582	435	311
583	435	310
584	436	309
585	436	308
586	437	307
587	437	306
588	438	305
589	438	304
590	439	303
591	439	302
592	440	302
593	440	301
594	441	300
595	441	299
596	442	298
597	442	297
598	443	296
599	443	295
600	444	294
601	444	294
602	445	293
603	445	292
604	446	291
605	446	290
606	447	289
607	447	288
608	448	287
609	448	287
610	449	286
611	449	285
612	450	284
613	450	283
614	451	282
615	451	281
616	452	280
617	452	279
618	453	279
619	454	278
620	455	277
621	455	276
622	456	276
623	456	275
624	457	274
625	457	273
626	458	272
627	458	271
628	459	270
629	459	269
630	460	269
631	460	268
632	461	267
633	461	266
634	462	265
635	462	264
636	463	263
637	463	263
638	463	262
639	464	261
640	464	260
641	465	259
642	465	258
643	466	257
644	467	257
645	467	256
646	468	255
647	468	254
648	469	253
649	469	253
650	470	252
651	470	251
652	471	250
653	471	249
654	472	248
655	472	247
656	473	247
657	473	246
658	474	245
659	474	244
660	475	243
661	475	242
662	476	242
663	476	241
664	477	240
665	477	239
666	478	238
667	478	238
668	479	237
669	480	236
670	480	235
671	481	234
672	481	234
673	482	233
674	482	232
675	483	231
676	483	230
677	484	230
678	484	229
679	485	228
680	485	227
681	486	226
682	486	225
683	487	225
684	487	224
685	488	223
686	488	222
687	489	221
688	489	221
689	490	220
690	490	219
691	491	218
692	491	217
693	492	217
694	492	216
695	493	215
696	493	214
697	494	213
698	494	213
